⚠ Dados em validação — aguardando confirmação final												
												
Campanha	Título na Campanha	SKU	Catálogo Clássico	Status Catálogo Clássico	Catálogo Premium	Status Catálogo Premium	Depósito (un)	FULL (un)	Qualidade do anúncio	Experiência	Status do Produto	Status na Campanha
		BAF11A-127V	#4639715877	PERDENDO	-	-	-	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Smart Tv Philco 40'' Full Hd Roku Tv Hdr10 Dolby Áudio P40cra	TVP40CRA	#6992920836	GANHANDO	-	-	1453	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Alto-falante Philco Audio PBS35 PBS35 portátil com bluetooth waterproof	PBS35	-	-	#6283588634	PERDENDO	-	-	59	-	Pausado	Pausado
												
[ML] [AVA] [PERFORMANCE]	Starlink 2534008BR	STARLINK-V4	-	-	-	-	23	-	34	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Cadeira de escritório Maxprint Office Matarazzo 60000087	CAD-MATARAZZO	#3930070979	PERDENDO	-	-	18	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Aspirador é industrial Tambor Wap GTW Inox 20 20L GTW INOX 20	GTW20INOX-127V	-	-	#4639442015	PERDENDO	1	-	-	-	Ativo	Pausado
												
		GTW20INOX-220V	-	-	-	-	-	-	-	-	Pausado	Pausado
												
[ML] [AVA] [PERFORMANCE]	Alto-falante LG Xboom XL7T portátil com bluetooth	XL7T	#6253535692	GANHANDO	-	-	27	-	-	-	Ativo	Pausado
												
[ML] [AVA] [PERFORMANCE]	Climatizador portátil frio Wap Air Fresh	WAF-220V	#6796964494	GANHANDO	-	-	5	63	-	-	Ativo	Pausado
												
		WAF-127V	-	-	-	-	-	-	-	-	Pausado	Pausado
												
[ML] [BAIXA PERFORMANCE]	Aspirador Philco PAS1450C 1L PAS1450C	PAS1450C-127V	#6174001096	GANHANDO	-	-	251	-	-	-	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Chapinha de cabelo Taiff Elegance Cerâmica Taiff Super Mini	CHTMINI-BIV	#5247646674	GANHANDO	#4658272945	GANHANDO	184	195	-	-	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Ferro de passar roupas Kian Linha Eletro - Kian A Seco 220V	FP100-220V	#4315960981	RESTRITO PARA GANHAR	-	-	-	-	-	30	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Impressora multifuncional cor Canon Pixma G3110	IMPC-G3110	-	-	-	-	416	-	41	-	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Air fryer Philco Air Fryer PAF15B de 15L	PAF15B-220V	#6680011768	PERDENDO	#6722040752	GANHANDO	-	-	-	-	Ativo	Pausado
												
		PAF15B-127V	#6680023310	PERDENDO	#4657264881	PERDENDO	-	-	-	-	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Liquidificador portátil Mondial Personal Blender DG-01 750 mL - Inclui 1 acessórios	DG-01-127V	#3630764257	PERDENDO	#5538004876	PERDENDO	-	-	-	-	Ativo	Pausado
												
		DG-01-220V	-	-	-	-	-	-	-	-	Pausado	Pausado
												
[ML] [BAIXA PERFORMANCE]	Monitor Gamer AOC com tela de 21.5" 120Hz e resolução Full HD	AOC21-30HM	#4526861389	GANHANDO	-	-	294	-	-	-	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Secador de cabelo GA.MA ItalyKeration BECHD0000003014	SCG-4D-BIV	#4670646181	PERDENDO	#6754667316	PERDENDO	-	-	-	30	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Secador de cabelo GA.MA Italy PRIMO II BIVOLT C	SCG-MR-BIV	#4670672195	PERDENDO	-	-	-	-	-	-	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Air fryer Philco NA PAF11B	PAF11B-127V	#6679991440	PERDENDO	#4657015301	PERDENDO	-	-	-	-	Ativo	Pausado
												
		PAF11B-220V	-	-	#4639440143	GANHANDO	-	-	-	-	Ativo	Pausado
												
[ML] [BAIXA PERFORMANCE]	Air fryer Philco PAF55A	PAF55A-220V	#6680008648	GANHANDO	-	-	-	-	-	-	Pausado	Pausado
												
		PAF55A-127V	-	-	-	-	-	-	-	-	Pausado	Pausado
												
[ML] [CONTROLE ACOS]	Aspirador Kian 3 em 1 1.2L	APK-B-220V	#6512791896	GANHANDO	-	-	-	-	-	-	Ativo	Pausado
												
